,parameter,measure_id,measure,metric_id,location_id,age_group_id,sex_id,location_name,sex,age,mean,lower,upper
0,Total iron responsive anemia,3,ylds,rate,1,169,2,Global,Female,Reproductive age,0.006488779446452387,0.004487159150798191,0.009090281098284641
1,Total iron responsive anemia,5,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.1954898473541218,0.19057286769544424,0.20019883118935503
2,Total iron responsive anemia,3,ylds,count,1,169,2,Global,Female,Reproductive age,16062536.829897571,11107660.495490184,22502379.089976393
3,Total iron responsive anemia,5,prevalence,count,1,169,2,Global,Female,Reproductive age,483921960.8108894,471750308.5747286,495578733.38407016
4,Total iron responsive anemia,3,ylds,rate,6,169,2,China,Female,Reproductive age,0.0019978327494582387,0.0013130381443930668,0.0028395201656895115
5,Total iron responsive anemia,5,prevalence,rate,6,169,2,China,Female,Reproductive age,0.07298796147821261,0.06177086065913602,0.08412053043418949
6,Total iron responsive anemia,3,ylds,count,6,169,2,China,Female,Reproductive age,890421.7015785174,585212.9809590015,1265556.5778894147
7,Total iron responsive anemia,5,prevalence,count,6,169,2,China,Female,Reproductive age,32530283.063885603,27530890.596819263,37492000.20232434
8,Total iron responsive anemia,3,ylds,rate,11,169,2,Indonesia,Female,Reproductive age,0.006179685350358195,0.004108453548878268,0.008836181513118399
9,Total iron responsive anemia,5,prevalence,rate,11,169,2,Indonesia,Female,Reproductive age,0.2063309034327728,0.17694662636546485,0.23855365276006485
10,Total iron responsive anemia,3,ylds,count,11,169,2,Indonesia,Female,Reproductive age,551310.4392380266,366528.90919273405,788305.3642693746
11,Total iron responsive anemia,5,prevalence,count,11,169,2,Indonesia,Female,Reproductive age,18407471.343716126,15786001.515041042,21282170.794887457
12,Total iron responsive anemia,3,ylds,rate,15,169,2,Myanmar,Female,Reproductive age,0.009694129750444636,0.00652430258677229,0.01371583533026611
13,Total iron responsive anemia,5,prevalence,rate,15,169,2,Myanmar,Female,Reproductive age,0.2946749972803229,0.2666668002781125,0.3262571418168421
14,Total iron responsive anemia,3,ylds,count,15,169,2,Myanmar,Female,Reproductive age,184230.38760364335,123989.9635497845,260660.18551967212
15,Total iron responsive anemia,5,prevalence,count,15,169,2,Myanmar,Female,Reproductive age,5600099.272816773,5067822.4080925565,6200296.596258865
16,Total iron responsive anemia,3,ylds,rate,20,169,2,Viet Nam,Female,Reproductive age,0.0029761106854542083,0.001961157819502457,0.0044007512043792415
17,Total iron responsive anemia,5,prevalence,rate,20,169,2,Viet Nam,Female,Reproductive age,0.10642784632822164,0.08241456670063027,0.13412299266783603
18,Total iron responsive anemia,3,ylds,count,20,169,2,Viet Nam,Female,Reproductive age,97095.74452204867,63982.86177342463,143574.70531385564
19,Total iron responsive anemia,5,prevalence,count,20,169,2,Viet Nam,Female,Reproductive age,3472213.257263231,2688778.932977915,4375768.6480740905
20,Total iron responsive anemia,3,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.00404659595379818,0.0026794698926729484,0.006137024325123327
21,Total iron responsive anemia,5,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.1600248916036193,0.13021281099095625,0.19266191780231023
22,Total iron responsive anemia,3,ylds,count,141,169,2,Egypt,Female,Reproductive age,129312.50612839292,85624.79942972725,196113.96954710304
23,Total iron responsive anemia,5,prevalence,count,141,169,2,Egypt,Female,Reproductive age,5113735.1028994005,4161064.04284293,6156679.765157922
24,Total iron responsive anemia,3,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.0068389400250345265,0.004311707096736354,0.010376323308444983
25,Total iron responsive anemia,5,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.2556358970687234,0.21374785168926216,0.2992555399976006
26,Total iron responsive anemia,3,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,384534.890601201,242435.49595093363,583432.276588131
27,Total iron responsive anemia,5,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,14373707.234340772,12018457.021803932,16826320.44052758
28,Total iron responsive anemia,3,ylds,rate,163,169,2,India,Female,Reproductive age,0.014108067980746207,0.009741363926762451,0.019833915298127027
29,Total iron responsive anemia,5,prevalence,rate,163,169,2,India,Female,Reproductive age,0.3861378433008222,0.37589863572293597,0.3952855949968729
30,Total iron responsive anemia,3,ylds,count,163,169,2,India,Female,Reproductive age,6538558.035378756,4514755.20714867,9192272.565072427
31,Total iron responsive anemia,5,prevalence,count,163,169,2,India,Female,Reproductive age,178960343.93398723,174214856.94911677,183199982.2345321
32,Total iron responsive anemia,3,ylds,rate,164,169,2,Nepal,Female,Reproductive age,0.009529037184050505,0.006057388911469659,0.014079579066530333
33,Total iron responsive anemia,5,prevalence,rate,164,169,2,Nepal,Female,Reproductive age,0.3192334738584085,0.27959294462015694,0.36192007145101546
34,Total iron responsive anemia,3,ylds,count,164,169,2,Nepal,Female,Reproductive age,105053.25829813561,66779.93060977773,155220.89250327714
35,Total iron responsive anemia,5,prevalence,count,164,169,2,Nepal,Female,Reproductive age,3519402.4263848197,3082383.7983002253,3990002.5590268187
36,Total iron responsive anemia,3,ylds,rate,165,169,2,Pakistan,Female,Reproductive age,0.013759534606361675,0.008873609935259855,0.019625596608063567
37,Total iron responsive anemia,5,prevalence,rate,165,169,2,Pakistan,Female,Reproductive age,0.362488739594924,0.32453309177687795,0.40138893175785373
38,Total iron responsive anemia,3,ylds,count,165,169,2,Pakistan,Female,Reproductive age,990816.9567132317,638984.0530688777,1413229.041619806
39,Total iron responsive anemia,5,prevalence,count,165,169,2,Pakistan,Female,Reproductive age,26102626.29393013,23369459.763445288,28903808.973220292
40,Total iron responsive anemia,3,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.0056928564322928105,0.0035558767613334003,0.008420169079540728
41,Total iron responsive anemia,5,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.1794695852268825,0.14914259853953496,0.21259487282407552
42,Total iron responsive anemia,3,ylds,count,168,169,2,Angola,Female,Reproductive age,54320.65756099208,33929.81470352776,80344.39768774761
