,parameter,measure_id,measure,metric_id,location_id,age_group_id,sex_id,location_name,sex,age,mean,lower,upper
0,Maternal disorder burden attributable to iron deficiency,2,dalys,count,1,169,2,Global,female,Reproductive age,2728444.7506390535,977285.4352990987,4524661.80166334
1,Maternal disorder burden attributable to iron deficiency,2,dalys,count,1,169,2,Global,female,Reproductive age,0.0011022092217571897,0.0003947937808978399,0.0018278266261238217
2,Maternal disorder burden attributable to iron deficiency,2,dalys,count,6,169,2,China,female,Reproductive age,17558.761064212813,5961.172411725318,31155.20649627129
3,Maternal disorder burden attributable to iron deficiency,2,dalys,count,6,169,2,China,female,Reproductive age,3.939646555312897e-05,1.3375039543846535e-05,6.990271210151572e-05
4,Maternal disorder burden attributable to iron deficiency,2,dalys,count,11,169,2,Indonesia,female,Reproductive age,49593.63452306974,17455.58931128837,85531.33491226574
5,Maternal disorder burden attributable to iron deficiency,2,dalys,count,11,169,2,Indonesia,female,Reproductive age,0.0005558992446375819,0.00019566117720884525,0.0009587279683737427
6,Maternal disorder burden attributable to iron deficiency,2,dalys,count,15,169,2,Myanmar,female,Reproductive age,18338.71409761317,6510.127390711469,33086.16158907784
7,Maternal disorder burden attributable to iron deficiency,2,dalys,count,15,169,2,Myanmar,female,Reproductive age,0.0009649758448158121,0.00034256031504019093,0.0017409806686112352
8,Maternal disorder burden attributable to iron deficiency,2,dalys,count,20,169,2,Viet Nam,female,Reproductive age,2843.5361321452265,969.1259499651137,5081.0602850419555
9,Maternal disorder burden attributable to iron deficiency,2,dalys,count,20,169,2,Viet Nam,female,Reproductive age,8.715807586635085e-05,2.9704969146069835e-05,0.00015574109743106697
10,Maternal disorder burden attributable to iron deficiency,2,dalys,count,141,169,2,Egypt,female,Reproductive age,7215.5342366343475,2498.030902821338,12949.347888945727
11,Maternal disorder burden attributable to iron deficiency,2,dalys,count,141,169,2,Egypt,female,Reproductive age,0.00022579681208456418,7.817126159308214e-05,0.0004052259161979634
12,Maternal disorder burden attributable to iron deficiency,2,dalys,count,161,169,2,Bangladesh,female,Reproductive age,70613.2034962506,24043.511525279777,124820.33364382669
13,Maternal disorder burden attributable to iron deficiency,2,dalys,count,161,169,2,Bangladesh,female,Reproductive age,0.0012558534361638701,0.0004276130393669438,0.0022199254126467134
14,Maternal disorder burden attributable to iron deficiency,2,dalys,count,163,169,2,India,female,Reproductive age,685896.0329838116,241744.08362862808,1177394.037446181
15,Maternal disorder burden attributable to iron deficiency,2,dalys,count,163,169,2,India,female,Reproductive age,0.0014799391255229902,0.0005216046026237221,0.0025404309376071423
16,Maternal disorder burden attributable to iron deficiency,2,dalys,count,164,169,2,Nepal,female,Reproductive age,18608.576236930916,6539.123046930203,32555.410512543676
17,Maternal disorder burden attributable to iron deficiency,2,dalys,count,164,169,2,Nepal,female,Reproductive age,0.0016879230380529783,0.0005931424467429905,0.002952994722311844
18,Maternal disorder burden attributable to iron deficiency,2,dalys,count,165,169,2,Pakistan,female,Reproductive age,227179.37959567833,80495.38160156134,394323.3325297201
19,Maternal disorder burden attributable to iron deficiency,2,dalys,count,165,169,2,Pakistan,female,Reproductive age,0.0031548536934286873,0.0011178442004798413,0.005475991809866539
20,Maternal disorder burden attributable to iron deficiency,2,dalys,count,168,169,2,Angola,female,Reproductive age,24669.99764871259,8475.763660755065,43488.29748325034
21,Maternal disorder burden attributable to iron deficiency,2,dalys,count,168,169,2,Angola,female,Reproductive age,0.0025854391516050906,0.0008882680704029737,0.004557614822298618
22,Maternal disorder burden attributable to iron deficiency,2,dalys,count,171,169,2,Democratic Republic of the Congo,female,Reproductive age,136168.1178905888,49175.59633699148,231623.30248128314
23,Maternal disorder burden attributable to iron deficiency,2,dalys,count,171,169,2,Democratic Republic of the Congo,female,Reproductive age,0.004946262554377926,0.0017862875283794783,0.00841364106027425
24,Maternal disorder burden attributable to iron deficiency,2,dalys,count,179,169,2,Ethiopia,female,Reproductive age,92998.85555247024,30467.164294359496,167221.922909764
25,Maternal disorder burden attributable to iron deficiency,2,dalys,count,179,169,2,Ethiopia,female,Reproductive age,0.0026932127431329093,0.0008823179020563058,0.004842685547433092
26,Maternal disorder burden attributable to iron deficiency,2,dalys,count,180,169,2,Kenya,female,Reproductive age,49362.69083324092,17399.297092232806,85547.50384976235
27,Maternal disorder burden attributable to iron deficiency,2,dalys,count,180,169,2,Kenya,female,Reproductive age,0.002903269161307163,0.001023340539658833,0.005031480771436588
28,Maternal disorder burden attributable to iron deficiency,2,dalys,count,181,169,2,Madagascar,female,Reproductive age,28438.58111501629,9973.325976477603,49344.347507330596
29,Maternal disorder burden attributable to iron deficiency,2,dalys,count,181,169,2,Madagascar,female,Reproductive age,0.003266010800584936,0.0011453802925396582,0.005666920274783399
30,Maternal disorder burden attributable to iron deficiency,2,dalys,count,184,169,2,Mozambique,female,Reproductive age,33195.90425989255,11733.060338232657,59677.12099040873
31,Maternal disorder burden attributable to iron deficiency,2,dalys,count,184,169,2,Mozambique,female,Reproductive age,0.0035073715792453466,0.001239677101298557,0.006305291051999889
32,Maternal disorder burden attributable to iron deficiency,2,dalys,count,189,169,2,United Republic of Tanzania,female,Reproductive age,78538.8235966365,27259.53825220798,137340.82625987756
33,Maternal disorder burden attributable to iron deficiency,2,dalys,count,189,169,2,United Republic of Tanzania,female,Reproductive age,0.004256048408163083,0.001477204636797476,0.007442551062149949
34,Maternal disorder burden attributable to iron deficiency,2,dalys,count,190,169,2,Uganda,female,Reproductive age,30229.568206631953,10432.130066883314,52839.61639818512
35,Maternal disorder burden attributable to iron deficiency,2,dalys,count,190,169,2,Uganda,female,Reproductive age,0.002313522928823596,0.000798389574777641,0.004043910361267599
36,Maternal disorder burden attributable to iron deficiency,2,dalys,count,196,169,2,South Africa,female,Reproductive age,20042.027229005613,7003.094188111675,36552.911972556634
37,Maternal disorder burden attributable to iron deficiency,2,dalys,count,196,169,2,South Africa,female,Reproductive age,0.0010608053945388985,0.0003706670991076914,0.0019347107836714288
38,Maternal disorder burden attributable to iron deficiency,2,dalys,count,201,169,2,Burkina Faso,female,Reproductive age,30578.69493841367,10749.523690488808,54058.491986875626
39,Maternal disorder burden attributable to iron deficiency,2,dalys,count,201,169,2,Burkina Faso,female,Reproductive age,0.004263660953137584,0.0014988319323722648,0.0075375055061751295
40,Maternal disorder burden attributable to iron deficiency,2,dalys,count,202,169,2,Cameroon,female,Reproductive age,35889.20452968948,12190.156989786186,66246.15715972835
41,Maternal disorder burden attributable to iron deficiency,2,dalys,count,202,169,2,Cameroon,female,Reproductive age,0.0037542690333028455,0.0012751781349735723,0.0069298247107800574
42,Maternal disorder burden attributable to iron deficiency,2,dalys,count,205,169,2,Côte d'Ivoire,female,Reproductive age,33637.198792685565,11785.25656537208,60904.02725250246
43,Maternal disorder burden attributable to iron deficiency,2,dalys,count,205,169,2,Côte d'Ivoire,female,Reproductive age,0.004117517249914301,0.0014426289627047458,0.007455239788158592
44,Maternal disorder burden attributable to iron deficiency,2,dalys,count,207,169,2,Ghana,female,Reproductive age,22821.941499943583,7626.885955048379,40568.20345114005
45,Maternal disorder burden attributable to iron deficiency,2,dalys,count,207,169,2,Ghana,female,Reproductive age,0.0020798983182421134,0.0006950831624631382,0.003697219981583893
46,Maternal disorder burden attributable to iron deficiency,2,dalys,count,213,169,2,Niger,female,Reproductive age,49036.238889275235,17222.096504320652,87410.14788357234
47,Maternal disorder burden attributable to iron deficiency,2,dalys,count,213,169,2,Niger,female,Reproductive age,0.007276802562789996,0.0025556975579272335,0.01297135348347743
48,Maternal disorder burden attributable to iron deficiency,2,dalys,count,214,169,2,Nigeria,female,Reproductive age,277459.943914705,91452.49100797424,515885.559439658
49,Maternal disorder burden attributable to iron deficiency,2,dalys,count,214,169,2,Nigeria,female,Reproductive age,0.003871468768505552,0.0012760597358451445,0.007198281681004116
50,Maternal disorder burden attributable to iron deficiency,2,dalys,count,522,169,2,Sudan,female,Reproductive age,28169.28946640649,9541.074853381684,52809.0390555946
51,Maternal disorder burden attributable to iron deficiency,2,dalys,count,522,169,2,Sudan,female,Reproductive age,0.0020725029508550426,0.0007019667930049819,0.003885326586070293
