,parameter,measure_id,metric_id,location_id,age_group_id,sex_id,location_name,sex,age,mean,lower,upper
37,Mild anemia,ylds,count,6,1,3,China,Both,Under Five,19476.232369744794,7088.365348886986,42185.15111903007
38,Moderate anemia,ylds,count,6,1,3,China,Both,Under Five,119552.52247059578,68615.10159421018,189557.1786060725
39,Severe anemia,ylds,count,6,1,3,China,Both,Under Five,18391.058559050824,9326.803004664669,32123.485078648053
40,Total anemia,prevalence,rate,6,1,3,China,Both,Under Five,0.09473461936253673,0.07659960477966914,0.11434314832680588
41,Mild anemia,prevalence,rate,6,1,3,China,Both,Under Five,0.06466978120197076,0.054615904339830816,0.07483269022398985
42,Moderate anemia,prevalence,rate,6,1,3,China,Both,Under Five,0.028537781463891732,0.021097881823906508,0.03732540540007998
43,Severe anemia,prevalence,rate,6,1,3,China,Both,Under Five,0.0015270566966742484,0.0009027498669130388,0.0024248232642652776
44,Total anemia,ylds,rate,6,1,3,China,Both,Under Five,0.0019317481112221112,0.0010829386220523496,0.003120201367518636
45,Mild anemia,ylds,rate,6,1,3,China,Both,Under Five,0.00023899898164993571,8.698356375016282e-05,0.0005176672760312187
46,Moderate anemia,ylds,rate,6,1,3,China,Both,Under Five,0.0014670666575399794,0.00084199752269838,0.0023261158416688138
47,Severe anemia,ylds,rate,6,1,3,China,Both,Under Five,0.00022568247203219607,0.00011445213724329914,0.00039419740302391924
48,Total anemia,ylds,count,6,169,2,China,Female,Reproductive age,993982.6485792944,601384.7733269632,1515893.2560786298
49,Mild anemia,ylds,count,6,169,2,China,Female,Reproductive age,115288.71088495807,41543.702683221636,260778.2519176304
50,Moderate anemia,ylds,count,6,169,2,China,Female,Reproductive age,761956.4421622808,463087.07744124765,1123344.9687513935
51,Severe anemia,ylds,count,6,169,2,China,Female,Reproductive age,116737.49553205544,66269.580641105,185343.23347149137
52,Total anemia,prevalence,count,6,169,2,China,Female,Reproductive age,46928914.71655052,41046607.277239375,52598127.622783765
53,Mild anemia,prevalence,count,6,169,2,China,Female,Reproductive age,31275760.86278946,28487238.02874723,33798099.05124563
54,Moderate anemia,prevalence,count,6,169,2,China,Female,Reproductive age,14864539.138252025,12034079.811963748,17840242.566493273
55,Severe anemia,prevalence,count,6,169,2,China,Female,Reproductive age,788614.7155090447,518119.6836831244,1118882.7943310288
56,Total anemia,ylds,rate,6,169,2,China,Female,Reproductive age,0.00223223665619427,0.0013582661434721054,0.0034011987649311772
57,Mild anemia,ylds,rate,6,169,2,China,Female,Reproductive age,0.0002588075927406481,9.330617395789239e-05,0.0005851062829038333
58,Moderate anemia,ylds,rate,6,169,2,China,Female,Reproductive age,0.0017111589122248382,0.001042729303855594,0.002520441004000818
59,Severe anemia,ylds,rate,6,169,2,China,Female,Reproductive age,0.0002622701512287837,0.0001489278142906669,0.00041585327610883484
60,Total anemia,prevalence,rate,6,169,2,China,Female,Reproductive age,0.10541315133907594,0.09214941159903989,0.11809920032944081
61,Mild anemia,prevalence,rate,6,169,2,China,Female,Reproductive age,0.0702495565918882,0.06395158631009099,0.07590408049287926
62,Moderate anemia,prevalence,rate,6,169,2,China,Female,Reproductive age,0.03339171125107677,0.027014985231189514,0.04020543822924576
63,Severe anemia,prevalence,rate,6,169,2,China,Female,Reproductive age,0.0017718834961109855,0.0011715590376154832,0.0025104292554383157
64,Total anemia,prevalence,count,11,1,3,Indonesia,Both,Under Five,3768067.7213498405,2878512.0745557784,4901628.936666029
65,Mild anemia,prevalence,count,11,1,3,Indonesia,Both,Under Five,2550732.325069813,2014324.6763558362,3162033.4073687457
66,Moderate anemia,prevalence,count,11,1,3,Indonesia,Both,Under Five,1178526.498427557,809414.5978687091,1668645.4908654706
67,Severe anemia,prevalence,count,11,1,3,Indonesia,Both,Under Five,38808.897852470065,22997.69255575662,63165.185211709024
68,Total anemia,ylds,count,11,1,3,Indonesia,Both,Under Five,75721.70243634233,42806.053775764565,126479.58602277961
69,Mild anemia,ylds,count,11,1,3,Indonesia,Both,Under Five,9407.814307767443,3193.8320355869982,21496.650381470296
70,Moderate anemia,ylds,count,11,1,3,Indonesia,Both,Under Five,60570.86717265777,33947.85075269317,100425.08729419886
71,Severe anemia,ylds,count,11,1,3,Indonesia,Both,Under Five,5743.020955917132,2834.348793956843,10284.979531695446
72,Total anemia,prevalence,rate,11,1,3,Indonesia,Both,Under Five,0.19121080349751884,0.1460702533382146,0.2487334296345528
73,Mild anemia,prevalence,rate,11,1,3,Indonesia,Both,Under Five,0.1294370519458111,0.10221701634728114,0.16045755894545946
74,Moderate anemia,prevalence,rate,11,1,3,Indonesia,Both,Under Five,0.05980439189843546,0.04107378822948912,0.08467550709162944
75,Severe anemia,prevalence,rate,11,1,3,Indonesia,Both,Under Five,0.001969359653272265,0.0011670191719908478,0.003205320793192593
76,Total anemia,ylds,rate,11,1,3,Indonesia,Both,Under Five,0.003842501949478308,0.002172195550161138,0.006418213540171109
77,Mild anemia,ylds,rate,11,1,3,Indonesia,Both,Under Five,0.0004774000538130596,0.00016207118208107362,0.0010908487044053732
78,Moderate anemia,ylds,rate,11,1,3,Indonesia,Both,Under Five,0.0030736719817966575,0.0017226855511797861,0.005096076571031835
79,Severe anemia,ylds,rate,11,1,3,Indonesia,Both,Under Five,0.00029142991386859143,0.00014382918523836005,0.0005219118512834274
80,Total anemia,ylds,count,11,169,2,Indonesia,Female,Reproductive age,571353.7726019532,356455.4089382192,870702.8979803387
81,Mild anemia,ylds,count,11,169,2,Indonesia,Female,Reproductive age,48468.59812918213,16655.22288488048,108340.16036570563
82,Moderate anemia,ylds,count,11,169,2,Indonesia,Female,Reproductive age,459224.8787774604,285339.1178478055,701972.9089888089
83,Severe anemia,ylds,count,11,169,2,Indonesia,Female,Reproductive age,63660.29569531073,39703.061423991385,94212.75422229955
84,Total anemia,prevalence,count,11,169,2,Indonesia,Female,Reproductive age,22523351.571972366,19718860.270544913,25674317.56293324
85,Mild anemia,prevalence,count,11,169,2,Indonesia,Female,Reproductive age,13128233.648230355,11696801.625694877,14599481.829209944
86,Moderate anemia,prevalence,count,11,169,2,Indonesia,Female,Reproductive age,8962263.221056579,7417738.655527396,10651180.044164592
87,Severe anemia,prevalence,count,11,169,2,Indonesia,Female,Reproductive age,432854.70268543117,330376.80928358575,548427.5079557244
88,Total anemia,ylds,rate,11,169,2,Indonesia,Female,Reproductive age,0.006409763983325136,0.00399715646765961,0.009759782438729473
89,Mild anemia,ylds,rate,11,169,2,Indonesia,Female,Reproductive age,0.000543542264666482,0.0001897525772150226,0.0012143940223456398
90,Moderate anemia,ylds,rate,11,169,2,Indonesia,Female,Reproductive age,0.005151768904747127,0.0032267678040714073,0.007868473718767298
91,Severe anemia,ylds,rate,11,169,2,Indonesia,Female,Reproductive age,0.0007144528139115285,0.0004515389047225765,0.0010560387318061947
92,Total anemia,prevalence,rate,11,169,2,Indonesia,Female,Reproductive age,0.2527248100659108,0.2210377263802514,0.2877855974274451
93,Mild anemia,prevalence,rate,11,169,2,Indonesia,Female,Reproductive age,0.14729756531234078,0.1311323254299275,0.1636468268358638
94,Moderate anemia,prevalence,rate,11,169,2,Indonesia,Female,Reproductive age,0.10056895976100445,0.08321348767164896,0.11938997812906185
95,Severe anemia,prevalence,rate,11,169,2,Indonesia,Female,Reproductive age,0.004858284992565535,0.003708781268271875,0.006153891753592214
96,Total anemia,prevalence,count,15,1,3,Myanmar,Both,Under Five,3162423.8762932117,2803929.769829778,3527788.125334204
97,Mild anemia,prevalence,count,15,1,3,Myanmar,Both,Under Five,1532804.159083532,1387940.0460628348,1681822.9905104109
98,Moderate anemia,prevalence,count,15,1,3,Myanmar,Both,Under Five,1571919.0271805888,1296361.9934033186,1871715.4149267988
99,Severe anemia,prevalence,count,15,1,3,Myanmar,Both,Under Five,57700.69002909213,37521.60615183996,84935.21008150012
100,Total anemia,ylds,count,15,1,3,Myanmar,Both,Under Five,94496.80561454417,58088.252251349855,147269.2174765214
101,Mild anemia,ylds,count,15,1,3,Myanmar,Both,Under Five,5640.735476045109,1982.4972913856864,12066.97189615787
102,Moderate anemia,ylds,count,15,1,3,Myanmar,Both,Under Five,80394.81207155388,50170.40807281192,122970.79707905017
103,Severe anemia,ylds,count,15,1,3,Myanmar,Both,Under Five,8461.258066945202,4626.627644608652,14045.818030858745
104,Total anemia,prevalence,rate,15,1,3,Myanmar,Both,Under Five,0.630131842608873,0.5586997510528832,0.7029328511003298
105,Mild anemia,prevalence,rate,15,1,3,Myanmar,Both,Under Five,0.3054203822461582,0.2765553426321048,0.3351132743136522
106,Moderate anemia,prevalence,rate,15,1,3,Myanmar,Both,Under Five,0.31321425329936176,0.25830786875693507,0.3729504738718655
107,Severe anemia,prevalence,rate,15,1,3,Myanmar,Both,Under Five,0.011497207063353242,0.0074764040960305376,0.01692384782199422
108,Total anemia,ylds,rate,15,1,3,Myanmar,Both,Under Five,0.018829052831570613,0.011574431150569248,0.02934427103959899
109,Mild anemia,ylds,rate,15,1,3,Myanmar,Both,Under Five,0.0011239502287580083,0.00039502442431981453,0.0024044162114498406
110,Moderate anemia,ylds,rate,15,1,3,Myanmar,Both,Under Five,0.016019146404315003,0.009996753414477727,0.02450266567090617
111,Severe anemia,ylds,rate,15,1,3,Myanmar,Both,Under Five,0.0016859561984976072,0.000921883187328963,0.002798713120996351
112,Total anemia,ylds,count,15,169,2,Myanmar,Female,Reproductive age,197719.31968252876,123397.54001875958,290150.1742288541
113,Mild anemia,ylds,count,15,169,2,Myanmar,Female,Reproductive age,13341.348421248302,4689.710860751629,29844.583160025333
114,Moderate anemia,ylds,count,15,169,2,Myanmar,Female,Reproductive age,160797.7120589345,100370.64033767162,237707.20653936575
115,Severe anemia,ylds,count,15,169,2,Myanmar,Female,Reproductive age,23580.25920234599,14377.053994951739,35261.391171186195
116,Total anemia,prevalence,count,15,169,2,Myanmar,Female,Reproductive age,6920545.976578771,6389478.449923425,7546800.0936246365
117,Mild anemia,prevalence,count,15,169,2,Myanmar,Female,Reproductive age,3617529.6591773103,3386303.2882898073,3870619.0201349626
118,Moderate anemia,prevalence,count,15,169,2,Myanmar,Female,Reproductive age,3142362.7755199424,2784347.0960411862,3569756.0332450885
119,Severe anemia,prevalence,count,15,169,2,Myanmar,Female,Reproductive age,160653.5418815193,124021.5004273466,203781.01528312973
120,Total anemia,ylds,rate,15,169,2,Myanmar,Female,Reproductive age,0.010412822786480388,0.006517694033474224,0.015267586811682981
121,Mild anemia,ylds,rate,15,169,2,Myanmar,Female,Reproductive age,0.0007023751714182965,0.0002529889786249488,0.001570410100442621
122,Moderate anemia,ylds,rate,15,169,2,Myanmar,Female,Reproductive age,0.00846840306304059,0.005330511489132278,0.012508058701835906
123,Severe anemia,ylds,rate,15,169,2,Myanmar,Female,Reproductive age,0.0012420445520215017,0.0007586006932065576,0.001855440384406496
124,Total anemia,prevalence,rate,15,169,2,Myanmar,Female,Reproductive age,0.36455559674275767,0.3363092668312414,0.3979173512747597
125,Mild anemia,prevalence,rate,15,169,2,Myanmar,Female,Reproductive age,0.1905556387855932,0.17820509416746524,0.20367043398102885
126,Moderate anemia,prevalence,rate,15,169,2,Myanmar,Female,Reproductive age,0.16553724812880963,0.14670337306950357,0.18783914322626152
127,Severe anemia,prevalence,rate,15,169,2,Myanmar,Female,Reproductive age,0.00846270982835475,0.006527753312568541,0.010722876006112977
128,Total anemia,prevalence,count,20,1,3,Viet Nam,Both,Under Five,1509162.83558624,1102544.41631171,2017870.347527012
129,Mild anemia,prevalence,count,20,1,3,Viet Nam,Both,Under Five,971796.746384381,729493.1210710923,1255002.9278845557
130,Moderate anemia,prevalence,count,20,1,3,Viet Nam,Both,Under Five,513947.48933788016,330582.9777402631,749219.2951196602
131,Severe anemia,prevalence,count,20,1,3,Viet Nam,Both,Under Five,23418.599863978954,11964.132924928164,40591.16887675808
132,Total anemia,ylds,count,20,1,3,Viet Nam,Both,Under Five,33448.4303557074,18209.004539494137,58703.84743807267
133,Mild anemia,ylds,count,20,1,3,Viet Nam,Both,Under Five,3588.887775879326,1250.9387113729656,8421.105323305903
134,Moderate anemia,ylds,count,20,1,3,Viet Nam,Both,Under Five,26388.425271308985,14413.642270734077,46226.00794630988
135,Severe anemia,ylds,count,20,1,3,Viet Nam,Both,Under Five,3471.117308519086,1478.4431855422322,6879.1662756482865
136,Total anemia,prevalence,rate,20,1,3,Viet Nam,Both,Under Five,0.21753859085053567,0.1589264942251289,0.29086634097346387
137,Mild anemia,prevalence,rate,20,1,3,Viet Nam,Both,Under Five,0.14007984414715144,0.10515293767575437,0.18090265808808517
138,Moderate anemia,prevalence,rate,20,1,3,Viet Nam,Both,Under Five,0.07408306775478121,0.04765195208962018,0.10799637113714818
139,Severe anemia,prevalence,rate,20,1,3,Viet Nam,Both,Under Five,0.003375678948603031,0.0017245724290754596,0.005851022480947836
140,Total anemia,ylds,rate,20,1,3,Viet Nam,Both,Under Five,0.004821430951098364,0.002624740746927971,0.008461878299714733
141,Mild anemia,ylds,rate,20,1,3,Viet Nam,Both,Under Five,0.000517320974964393,0.00018031682075364053,0.0012138619784685435
142,Moderate anemia,ylds,rate,20,1,3,Viet Nam,Both,Under Five,0.0038037650496841858,0.0020776574632393463,0.006663257530708837
143,Severe anemia,ylds,rate,20,1,3,Viet Nam,Both,Under Five,0.0005003449264497848,0.00021311050050506998,0.00099159885371133
144,Total anemia,ylds,count,20,169,2,Viet Nam,Female,Reproductive age,92685.9648734953,52503.34188599865,151052.60527784316
145,Mild anemia,ylds,count,20,169,2,Viet Nam,Female,Reproductive age,11528.752729416337,3940.060982461644,26669.435746553863
146,Moderate anemia,ylds,count,20,169,2,Viet Nam,Female,Reproductive age,73188.33334074124,42414.15531060629,117590.90615218555
147,Severe anemia,ylds,count,20,169,2,Viet Nam,Female,Reproductive age,7968.878803337699,4075.2800038507867,14068.088908137013
148,Total anemia,prevalence,count,20,169,2,Viet Nam,Female,Reproductive age,4609681.581624985,3662794.973599582,5665109.06257732
149,Mild anemia,prevalence,count,20,169,2,Viet Nam,Female,Reproductive age,3128595.360955651,2588018.2666004915,3764569.0371229504
150,Moderate anemia,prevalence,count,20,169,2,Viet Nam,Female,Reproductive age,1427313.860721283,1020009.8192376806,1886228.6552731632
151,Severe anemia,prevalence,count,20,169,2,Viet Nam,Female,Reproductive age,53772.35994805062,31833.004654090942,83296.55316034186
152,Total anemia,ylds,rate,20,169,2,Viet Nam,Female,Reproductive age,0.0028426815087833706,0.0016103041767746148,0.0046299585511803895
153,Mild anemia,ylds,rate,20,169,2,Viet Nam,Female,Reproductive age,0.00035352763378681477,0.00012150168634611768,0.000817452846065047
154,Moderate anemia,ylds,rate,20,169,2,Viet Nam,Female,Reproductive age,0.0022447266195674176,0.0013043036365550738,0.003604314010201467
155,Severe anemia,ylds,rate,20,169,2,Viet Nam,Female,Reproductive age,0.00024442725542913853,0.0001255907765658157,0.0004312051978129576
156,Total anemia,prevalence,rate,20,169,2,Viet Nam,Female,Reproductive age,0.1414182375980593,0.11290658657548316,0.1736429510726007
157,Mild anemia,prevalence,rate,20,169,2,Viet Nam,Female,Reproductive age,0.09598402047124605,0.0793802391922162,0.11538893071639715
158,Moderate anemia,prevalence,rate,20,169,2,Viet Nam,Female,Reproductive age,0.04378483188844384,0.03138583429835067,0.05781535827137749
159,Severe anemia,prevalence,rate,20,169,2,Viet Nam,Female,Reproductive age,0.001649385238369414,0.00097670450056839,0.0025531475467053494
160,Total anemia,prevalence,count,141,1,3,Egypt,Both,Under Five,3034634.8861844363,2410067.302723837,3712898.7025532136
161,Mild anemia,prevalence,count,141,1,3,Egypt,Both,Under Five,2056689.2848475398,1672973.4995039043,2470900.423308909
162,Moderate anemia,prevalence,count,141,1,3,Egypt,Both,Under Five,952336.8963054364,678291.1848188296,1250040.6914163234
163,Severe anemia,prevalence,count,141,1,3,Egypt,Both,Under Five,25608.70503146015,15884.779746252007,37072.02982505655
164,Total anemia,ylds,count,141,1,3,Egypt,Both,Under Five,60430.10681078915,34013.08615254101,98786.49499382012
165,Mild anemia,ylds,count,141,1,3,Egypt,Both,Under Five,7619.61417498887,2594.7315590355647,17424.71170650676
166,Moderate anemia,ylds,count,141,1,3,Egypt,Both,Under Five,49013.73644247905,27451.405348323176,80478.96317667057
167,Severe anemia,ylds,count,141,1,3,Egypt,Both,Under Five,3796.756193321234,1959.0636231219264,6400.941619918634
168,Total anemia,prevalence,rate,141,1,3,Egypt,Both,Under Five,0.2803307593794152,0.222635019522085,0.3429868013197053
169,Mild anemia,prevalence,rate,141,1,3,Egypt,Both,Under Five,0.1899909843037954,0.15454443421601907,0.2282546065658742
170,Moderate anemia,prevalence,rate,141,1,3,Egypt,Both,Under Five,0.08797411726259076,0.06265857015823856,0.11547512943822703
171,Severe anemia,prevalence,rate,141,1,3,Egypt,Both,Under Five,0.0023656578130290306,0.0014673898297005669,0.0034246064723988043
172,Total anemia,ylds,rate,141,1,3,Egypt,Both,Under Five,0.005582357801517115,0.0031420301379214382,0.009125609569745551
173,Mild anemia,ylds,rate,141,1,3,Egypt,Both,Under Five,0.0007038778330721943,0.00023969376732656643,0.0016096442728219362
174,Moderate anemia,ylds,rate,141,1,3,Egypt,Both,Under Five,0.0045277466556177945,0.002535881117811636,0.007434412938470674
175,Severe anemia,ylds,rate,141,1,3,Egypt,Both,Under Five,0.00035073331282712715,0.00018097260914075585,0.0005913004009886801
176,Total anemia,ylds,count,141,169,2,Egypt,Female,Reproductive age,141634.18668921178,84189.37506291934,225717.69777990185
177,Mild anemia,ylds,count,141,169,2,Egypt,Female,Reproductive age,17209.333004334138,6059.320632228377,37660.77879817082
178,Moderate anemia,ylds,count,141,169,2,Egypt,Female,Reproductive age,115299.34725198116,70334.84643628066,182507.16579814593
179,Severe anemia,ylds,count,141,169,2,Egypt,Female,Reproductive age,9125.506432896484,5065.152420280413,14988.077234226424
180,Total anemia,prevalence,count,141,169,2,Egypt,Female,Reproductive age,6961340.309078396,5807723.633114309,8211284.63662756
181,Mild anemia,prevalence,count,141,169,2,Egypt,Female,Reproductive age,4653243.387537273,4020860.776151972,5314227.1252798755
182,Moderate anemia,prevalence,count,141,169,2,Egypt,Female,Reproductive age,2246595.8103556526,1705955.0475601265,2880085.382168071
183,Severe anemia,prevalence,count,141,169,2,Egypt,Female,Reproductive age,61501.111185471316,40724.54325010982,90057.71222102562
184,Total anemia,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.004435159596751534,0.0026395850033635792,0.007063418302556895
185,Mild anemia,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.0005387836315697222,0.00018971425491534158,0.001178524488190277
186,Moderate anemia,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.003610565402842368,0.0022068470490670825,0.005711224542540921
187,Severe anemia,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.00028581056233944346,0.000160027895322093,0.000469024184180731
188,Total anemia,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.2180458750938534,0.18178371150403919,0.2569569810445927
189,Mild anemia,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.14575373040340145,0.12584708470599587,0.16629891900301175
190,Moderate anemia,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.07036602561015622,0.053460859486507376,0.09012695061762191
191,Severe anemia,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.0019261190802957505,0.0012784937256815653,0.0028181897079628754
192,Total anemia,prevalence,count,161,1,3,Bangladesh,Both,Under Five,6515178.775533891,5284863.503504397,7865340.1295087915
193,Mild anemia,prevalence,count,161,1,3,Bangladesh,Both,Under Five,3780052.5183148724,3217031.587869683,4370382.820172235
194,Moderate anemia,prevalence,count,161,1,3,Bangladesh,Both,Under Five,2659070.169902382,1975964.4358361845,3509879.3715383294
195,Severe anemia,prevalence,count,161,1,3,Bangladesh,Both,Under Five,76056.08731663608,46300.04113615693,122419.86183929315
196,Total anemia,ylds,count,161,1,3,Bangladesh,Both,Under Five,161444.16277551604,91183.58386070127,261486.30493381448
197,Mild anemia,ylds,count,161,1,3,Bangladesh,Both,Under Five,13952.12246132234,4913.109438525635,31558.908423356184
198,Moderate anemia,ylds,count,161,1,3,Bangladesh,Both,Under Five,136309.45736740893,78475.69982704434,219732.9979614248
199,Severe anemia,ylds,count,161,1,3,Bangladesh,Both,Under Five,11182.582946784794,5654.765541315706,20692.213545554365
200,Total anemia,prevalence,rate,161,1,3,Bangladesh,Both,Under Five,0.47397210923143585,0.384468022759813,0.572194866701942
201,Mild anemia,prevalence,rate,161,1,3,Bangladesh,Both,Under Five,0.27499467425811097,0.23403551916221965,0.317940556167796
202,Moderate anemia,prevalence,rate,161,1,3,Bangladesh,Both,Under Five,0.19344443804916867,0.1437492452143547,0.255339874190882
203,Severe anemia,prevalence,rate,161,1,3,Bangladesh,Both,Under Five,0.00553299692415612,0.003368277204796771,0.008905910662909775
204,Total anemia,ylds,rate,161,1,3,Bangladesh,Both,Under Five,0.011744885749131895,0.006633505703946938,0.019022841852019374
205,Mild anemia,ylds,rate,161,1,3,Bangladesh,Both,Under Five,0.001015001604573213,0.0003574233223204294,0.002295875969916744
206,Moderate anemia,ylds,rate,161,1,3,Bangladesh,Both,Under Five,0.009916363501679818,0.0057090210801451465,0.01598533457019203
207,Severe anemia,ylds,rate,161,1,3,Bangladesh,Both,Under Five,0.0008135206428788659,0.00041137799025430677,0.0015053358375496002
208,Total anemia,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,464626.8454540485,283743.3622980522,724956.1241009815
209,Mild anemia,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,37918.394917337384,13673.349272432864,83569.77510435323
210,Moderate anemia,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,381122.4306136685,234582.72635573163,584043.1540647604
211,Severe anemia,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,45586.01992304254,25986.384049942768,72084.32977603468
212,Total anemia,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,18050224.559938964,15381415.45083456,20669926.922476973
213,Mild anemia,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,10293121.72370422,9034420.635344448,11613499.576885039
214,Moderate anemia,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,7447026.92807365,5938448.719626172,9010855.787468633
215,Severe anemia,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,310075.90816109465,210126.94931400355,437252.709415022
216,Total anemia,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.008269067318502589,0.00505553494540899,0.012893320150368209
217,Mild anemia,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.000674701802908032,0.00024397113408418196,0.0014862856240450346
218,Moderate anemia,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.00678293494762052,0.00418281589229736,0.010387187743708013
219,Severe anemia,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.0008114305679740365,0.00046653379991329753,0.0012820173672988722
220,Total anemia,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.32132912159452487,0.27477301799391346,0.3676139512949179
221,Mild anemia,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.18324382943319362,0.16080396393200513,0.20654569722634308
222,Moderate anemia,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.13256579576082284,0.106198117774909,0.16025776544850348
