,parameter,measure_id,metric_id,location_id,age_group_id,sex_id,location_name,sex,age,mean,lower,upper
0,Total anemia,prevalence,count,1,1,3,Global,Both,Under Five,262204911.52572036,257082258.95768127,266728979.76705906
1,Mild anemia,prevalence,count,1,1,3,Global,Both,Under Five,125270594.94563273,122809495.17454822,127256317.38957413
2,Moderate anemia,prevalence,count,1,1,3,Global,Both,Under Five,127937744.5654451,124761154.29169583,131216088.98591244
3,Severe anemia,prevalence,count,1,1,3,Global,Both,Under Five,8996572.01464254,8436223.798010219,9576353.074104616
4,Total anemia,ylds,count,1,1,3,Global,Both,Under Five,8311092.838776375,5512346.177324547,12168529.502856633
5,Mild anemia,ylds,count,1,1,3,Global,Both,Under Five,461525.8739147601,163197.0109918458,1011052.334468055
6,Moderate anemia,ylds,count,1,1,3,Global,Both,Under Five,6537079.877201021,4283573.11024704,9675535.504226612
7,Severe anemia,ylds,count,1,1,3,Global,Both,Under Five,1312487.0876605934,878467.6840726805,1841812.4095621214
8,Total anemia,prevalence,rate,1,1,3,Global,Both,Under Five,0.3955763845488535,0.3878480762941623,0.4024016364022518
9,Mild anemia,prevalence,rate,1,1,3,Global,Both,Under Five,0.1889899344391815,0.18527698740171109,0.19198570175918
10,Moderate anemia,prevalence,rate,1,1,3,Global,Both,Under Five,0.19301373932337312,0.1882213649610053,0.1979596254458273
11,Severe anemia,prevalence,rate,1,1,3,Global,Both,Under Five,0.013572710786298892,0.012727339430232328,0.014447399570720899
12,Total anemia,ylds,rate,1,1,3,Global,Both,Under Five,0.012538560157712873,0.008316220922482001,0.01835809588007625
13,Mild anemia,ylds,rate,1,1,3,Global,Both,Under Five,0.0006962826726494869,0.00024620775866359513,0.0015253277474145232
14,Moderate anemia,ylds,rate,1,1,3,Global,Both,Under Five,0.009862189111116571,0.00646242800732585,0.01459703150129814
15,Severe anemia,ylds,rate,1,1,3,Global,Both,Under Five,0.0019800883739468137,0.0013253034368671166,0.0027786569280962084
16,Total anemia,ylds,count,1,169,2,Global,Female,Reproductive age,19418336.332199913,12927649.98718365,28511244.33122652
17,Mild anemia,ylds,count,1,169,2,Global,Female,Reproductive age,1175415.2554019776,419808.5123763299,2594898.2816042453
18,Moderate anemia,ylds,count,1,169,2,Global,Female,Reproductive age,15035422.562302414,9881319.034824157,21989063.77645718
19,Severe anemia,ylds,count,1,169,2,Global,Female,Reproductive age,3207498.514495525,2169161.8096359004,4523400.456577946
20,Total anemia,prevalence,count,1,169,2,Global,Female,Reproductive age,635017014.4685252,625054848.7813679,645869056.5667913
21,Mild anemia,prevalence,count,1,169,2,Global,Female,Reproductive age,318896648.1005334,314401122.54019994,323975491.1915617
22,Moderate anemia,prevalence,count,1,169,2,Global,Female,Reproductive age,294206846.9049967,288512349.10353804,300716984.7764471
23,Severe anemia,prevalence,count,1,169,2,Global,Female,Reproductive age,21913519.46299501,20987230.262625054,22899082.627873745
24,Total anemia,ylds,rate,1,169,2,Global,Female,Reproductive age,0.007850582167959084,0.0052331993225075875,0.01151768105925174
25,Mild anemia,ylds,rate,1,169,2,Global,Female,Reproductive age,0.0004750621930751386,0.00017008654789130523,0.0010482604842323414
26,Moderate anemia,ylds,rate,1,169,2,Global,Female,Reproductive age,0.006078548996755378,0.0039997208647646705,0.008882917224745494
27,Severe anemia,ylds,rate,1,169,2,Global,Female,Reproductive age,0.001296970978128567,0.0008774503803943562,0.0018273170808289748
28,Total anemia,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.2567871828376366,0.25253628149384044,0.2609115797667505
29,Mild anemia,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.12895398005010383,0.1270292090285319,0.13087630743888712
30,Moderate anemia,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.11897174567790138,0.11655793893622508,0.12148057375249541
31,Severe anemia,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.008861457109631354,0.0084786321553344,0.009250537338647122
32,Total anemia,prevalence,count,6,1,3,China,Both,Under Five,7720005.530678737,6242167.61017254,9317921.404213088
33,Mild anemia,prevalence,count,6,1,3,China,Both,Under Five,5269996.03636376,4450696.972275506,6098180.224844267
34,Moderate anemia,prevalence,count,6,1,3,China,Both,Under Five,2325568.33201009,1719284.5177628344,3041679.3571600574
35,Severe anemia,prevalence,count,6,1,3,China,Both,Under Five,124441.16230488781,73565.86232449856,197600.9312858356
36,Total anemia,ylds,count,6,1,3,China,Both,Under Five,157419.8133993914,88249.59880438246,254267.89040966934
